Date,Open,High,Low,Close,Adj Close,Volume,open_moving_avg_50
2017-05-19,32.009998,32.689999,31.98,32.360001,29.87949,1548900,31.90739998
2017-05-22,32.610001,32.950001,32.59,32.869999,30.350399,1140900,31.91545
2017-05-23,33.040001,33.169998,32.880001,33.080002,30.544294,1872200,31.935150020000002
2017-05-24,33.209999,33.369999,33.060001,33.299999,30.747438,943600,31.962049999999998
2017-05-25,33.59,33.939999,33.470001,33.77,31.181408,1614300,31.99334996
2017-05-26,33.740002,33.84,33.669998,33.799999,31.209108,885800,32.01505002
2017-05-30,33.630001,33.799999,33.540001,33.700001,31.116776,559000,32.0373
2017-05-31,33.849998,33.849998,33.32,33.650002,31.070602,1158800,32.07059994
2017-06-01,33.860001,34.439999,33.740002,34.43,31.790819,1564700,32.10029996
2017-06-02,34.490002,34.849998,34.330002,34.740002,32.077053,1792800,32.1726
2017-06-05,34.700001,34.830002,34.619999,34.66,32.003193,1483000,32.24735002
2017-06-06,34.389999,34.68,34.330002,34.360001,31.726179,1006500,32.31290002
2017-06-07,34.529999,34.66,34.200001,34.560001,31.910847,1038200,32.4012
2017-06-08,34.59,34.84,34.349998,34.599998,31.947777,1572500,32.47989998
2017-06-09,34.740002,35.119999,33.82,34.450001,31.809288,2365200,32.548000040000005
2017-06-12,34.299999,34.439999,33.990002,34.400002,31.763117,1793200,32.60375
2017-06-13,34.68,34.939999,34.509998,34.889999,32.215561,1570000,32.663999999999994
2017-06-14,35.049999,35.049999,34.369999,34.779999,32.113983,2799100,32.73199998
2017-06-15,34.099998,34.630001,33.98,34.57,31.920092,1533600,32.788299939999995
2017-06-16,34.66,34.66,34.16,34.549999,31.901611,1435300,32.84564994
2017-06-19,34.970001,35.450001,34.93,35.400002,32.686462,1888500,32.919699959999996
2017-06-20,35.23,35.259998,34.709999,34.75,32.086288,1043400,32.99759998
2017-06-21,34.860001,34.950001,34.48,34.700001,32.040119,781000,33.066499979999996
2017-06-22,34.700001,34.93,34.57,34.619999,31.966249,501600,33.13585
2017-06-23,34.68,34.91,34.48,34.779999,32.113983,1366800,33.205999979999994
2017-06-26,35.09,35.290001,34.700001,34.790001,32.123226,1472200,33.29329998
2017-06-27,34.66,34.84,33.970001,34.009998,31.403009,3221500,33.37614998
2017-06-28,34.450001,34.959999,34.34,34.849998,32.178623,1764400,33.45
2017-06-29,34.939999,34.970001,33.369999,33.959999,31.356836,3030800,33.5278
2017-06-30,34.34,34.52,34.040001,34.130001,31.513809,1723200,33.59700002
2017-07-03,34.599998,34.799999,34.279999,34.279999,31.652315,1307200,33.66289998
2017-07-05,34.48,34.630001,34.080002,34.509998,31.864681,943700,33.71074994
2017-07-06,34.139999,34.200001,33.5,33.610001,31.033674,1423300,33.746099900000004
2017-07-07,33.860001,34.299999,33.779999,34.200001,31.578444,1102600,33.77094992
2017-07-10,34.16,34.509998,34.07,34.299999,31.670784,820900,33.79979994
2017-07-11,34.23,34.389999,33.669998,34.25,31.624619,1443500,33.82879996
2017-07-12,34.720001,35.099998,34.720001,35.009998,32.326351,1679900,33.87059996
2017-07-13,35.029999,35.240002,34.91,35.18,32.483326,993200,33.91619994
2017-07-14,35.18,35.830002,35.099998,35.619999,32.889599,1940100,33.97019994
2017-07-17,35.630001,35.810001,35.57,35.619999,32.889599,754000,34.028599979999996
2017-07-18,35.450001,35.720001,35.27,35.68,32.944996,1209900,34.08060004
2017-07-19,35.84,36.27,35.84,36.259998,33.480549,1065800,34.135799999999996
2017-07-20,36.419998,36.459999,36.029999,36.290001,33.508232,987400,34.20059996
2017-07-21,36.040001,36.220001,35.900002,36.220001,33.443619,1022200,34.26300002
2017-07-24,36.189999,36.25,35.950001,36.169998,33.397438,846500,34.3286
2017-07-25,36.560001,36.610001,36.330002,36.439999,33.646736,1273400,34.40420004
2017-07-26,36.599998,36.610001,36.310001,36.439999,33.646736,1375800,34.47780004
2017-07-27,36.669998,36.68,35.68,36.34,33.554409,1551200,34.543
2017-07-28,36.07,36.259998,35.849998,36.189999,33.415897,1001900,34.61779996
2017-07-31,36.400002,36.439999,36.029999,36.130001,33.360504,1037600,34.7192
2017-08-01,36.450001,36.450001,36.16,36.349998,33.563644,887400,34.80800006
2017-08-02,36.439999,36.48,35.950001,36.400002,33.609814,1110300,34.88460002
2017-08-03,36.380001,36.380001,36.07,36.220001,33.443619,743500,34.951400019999994
2017-08-04,36.43,36.540001,36.189999,36.389999,33.600571,991100,35.01580004
2017-08-07,36.41,36.580002,36.349998,36.549999,33.74831,558400,35.072200040000006
2017-08-08,36.419998,37.040001,36.110001,36.330002,33.545174,1060500,35.12579996
2017-08-09,35.959999,36.32,35.77,36.279999,33.499004,1500700,35.172399920000004
2017-08-10,35.869999,35.939999,34.740002,34.779999,32.113983,3793900,35.21279994
2017-08-11,34.889999,35.200001,34.75,34.889999,32.215561,2538200,35.2333999
2017-08-14,35.549999,36.049999,35.529999,35.91,33.157372,2081100,35.25459984
2017-08-15,36.099998,36.130001,35.77,35.91,33.157372,948700,35.28259978
2017-08-16,36.16,36.369999,35.889999,36.09,33.32357,1277800,35.317999799999996
2017-08-17,35.77,35.939999,34.400002,34.400002,31.763117,3538900,35.342799819999996
2017-08-18,34.330002,34.849998,34.009998,34.23,31.606144,2157700,35.33759986
2017-08-21,34.209999,34.43,33.860001,34.330002,31.698484,1750600,35.326999799999996
2017-08-22,34.59,35.450001,34.580002,35.34,32.631054,1859500,35.33279982
2017-08-23,34.889999,35.200001,34.82,34.990002,32.307899,1340600,35.3369998
2017-08-24,35.18,35.25,34.630001,34.73,32.067829,3856300,35.33959982
